epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.8621,0.91453,0.68731,1,0.86541,0.00036987,0.00036987,0.00036987
2,77.5578,0.4574,0.75279,1,0.81474,0.000666924,0.000666924,0.000666924
3,97.2347,0.35119,0.77766,1,0.63648,0.000890651,0.000890651,0.000890651
4,116.575,0.29413,0.78426,1,0.66656,0.000781033,0.000781033,0.000781033
5,134.095,0.23012,0.79036,1,0.65387,0.000671044,0.000671044,0.000671044
6,151.42,0.18611,0.76904,1,0.879,0.000561055,0.000561055,0.000561055
7,168.589,0.15148,0.80761,1,0.67278,0.000451066,0.000451066,0.000451066
8,185.813,0.12997,0.80254,1,0.69036,0.000341077,0.000341077,0.000341077
9,203.176,0.10521,0.82893,1,0.67814,0.000231088,0.000231088,0.000231088
10,220.4,0.09632,0.8264,1,0.68658,0.000121099,0.000121099,0.000121099
