epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.3495,0.79919,0.74924,1,0.67595,0.00036987,0.00036987,0.00036987
2,92.0428,0.39815,0.74162,1,0.85846,0.000666924,0.000666924,0.000666924
3,117.201,0.35627,0.78274,1,0.7362,0.000890651,0.000890651,0.000890651
4,141.963,0.28538,0.77411,1,0.65,0.000781033,0.000781033,0.000781033
5,166.783,0.21151,0.78376,1,0.70878,0.000671044,0.000671044,0.000671044
6,191.638,0.1613,0.82944,1,0.72291,0.000561055,0.000561055,0.000561055
7,216.811,0.12446,0.82437,1,0.67688,0.000451066,0.000451066,0.000451066
8,241.716,0.10187,0.83096,1,0.6428,0.000341077,0.000341077,0.000341077
9,266.647,0.07466,0.87208,1,0.51135,0.000231088,0.000231088,0.000231088
10,291.932,0.05821,0.86396,1,0.539,0.000121099,0.000121099,0.000121099
